accession	source_database	name	taxId	scientificName	length	entry_accession	entry_protein_locations
A0A7M7NYW5	unreviewed	Staphylococcal nuclease domain-containing protein 1	7668	Strongylocentrotus purpuratus	813	PF00565	40..157,212..321,363..482,541..647	
A0A7M7NZ18	unreviewed	Staphylococcal nuclease domain-containing protein	7668	Strongylocentrotus purpuratus	894	PF00565	40..157,212..321,363..482,541..647	
A0A7M7P2G3	unreviewed	Staphylococcal nuclease domain-containing protein	7668	Strongylocentrotus purpuratus	918	PF00565	64..181,236..345,387..506,565..671	
A0A7M7PWR0	unreviewed	Staphylococcal nuclease domain-containing protein	7425	Nasonia vitripennis	886	PF00565	35..147,204..305,355..465,525..634	
A0A7M7R8D2	unreviewed	Staphylococcal nuclease domain-containing protein	7460	Apis mellifera	892	PF00565	39..155,213..316,351..474,534..643	
A0A7N0RJ48	unreviewed	Ribonuclease	63787	Kalanchoe fedtschenkoi	982	PF00565	44..151,272..365,412..548,609..707,852..959	
A0A7N0THZ6	unreviewed	TNase-like domain-containing protein	63787	Kalanchoe fedtschenkoi	340	PF00565	228..322	
A0A7N0VE85	unreviewed	Ribonuclease	63787	Kalanchoe fedtschenkoi	981	PF00565	44..152,273..366,413..548,608..706,851..958	
A0A7N2KR16	unreviewed	TNase-like domain-containing protein	97700	Quercus lobata	230	PF00565	6..97	
A0A7N2MF63	unreviewed	TNase-like domain-containing protein	97700	Quercus lobata	348	PF00565	223..317	
A0A7N2MFJ1	unreviewed	TNase-like domain-containing protein	97700	Quercus lobata	336	PF00565	224..318	
A0A7N2MFU5	unreviewed	TNase-like domain-containing protein	97700	Quercus lobata	291	PF00565	175..269	
A0A7N2MMK8	unreviewed	Ribonuclease	97700	Quercus lobata	991	PF00565	44..151,273..365,619..716,863..969	
A0A7N2RA28	unreviewed	TNase-like domain-containing protein	97700	Quercus lobata	340	PF00565	223..317	
A0A7N2RB96	unreviewed	Ribonuclease	97700	Quercus lobata	984	PF00565	44..151,273..365,619..716	
A0A7N5ZV65	unreviewed	Staphylococcal nuclease domain-containing protein	64144	Anabas testudineus	892	PF00565	57..157,211..319,358..485,543..650	
A0A7N6AGU3	unreviewed	Staphylococcal nuclease domain-containing protein 1	64144	Anabas testudineus	844	PF00565	42..142,183..271,310..437,495..602	
A0A7N6AUV8	unreviewed	Staphylococcal nuclease domain-containing protein	64144	Anabas testudineus	849	PF00565	42..142,196..304,384..442,500..607	
A0A7N6B3P4	unreviewed	Staphylococcal nuclease domain-containing protein	64144	Anabas testudineus	887	PF00565	46..146,200..308,348..476,534..641	
A0A7N6BCD7	unreviewed	Staphylococcal nuclease domain-containing protein	64144	Anabas testudineus	911	PF00565	66..166,220..328,368..496,554..661	
A0A7N6BFZ8	unreviewed	Staphylococcal nuclease domain-containing protein	64144	Anabas testudineus	888	PF00565	66..166,220..328,368..496,554..637	
A0A7N6BQL4	unreviewed	Staphylococcal nuclease domain-containing protein 1	64144	Anabas testudineus	840	PF00565	63..163,217..325,365..482,489..593	
A0A7N6FC70	unreviewed	Staphylococcal nuclease domain-containing protein	64144	Anabas testudineus	888	PF00565	46..146,200..308,348..476,534..641	
A0A7N6FM67	unreviewed	Staphylococcal nuclease domain-containing protein	64144	Anabas testudineus	882	PF00565	45..145,199..307,347..475,533..640	
A0A7N8WKR6	unreviewed	TNase-like domain-containing protein	205130	Mastacembelus armatus	679	PF00565	42..141,172..263,303..430,488..595	
A0A7N8WUT4	unreviewed	TNase-like domain-containing protein	205130	Mastacembelus armatus	708	PF00565	42..141,185..292,332..459,517..624	
A0A7N8XX26	unreviewed	TNase-like domain-containing protein	205130	Mastacembelus armatus	717	PF00565	41..140,194..301,341..468,526..633	
A0A7N8YAA8	unreviewed	TNase-like domain-containing protein	205130	Mastacembelus armatus	686	PF00565	42..141,195..302,379..437,495..602	
A0A7N8YB67	unreviewed	TNase-like domain-containing protein	205130	Mastacembelus armatus	735	PF00565	57..156,210..317,358..486,544..651	
A0A7N8YJX3	unreviewed	TNase-like domain-containing protein	205130	Mastacembelus armatus	731	PF00565	66..165,219..326,367..495,553..636	
A0A7N8YR04	unreviewed	TNase-like domain-containing protein	205130	Mastacembelus armatus	632	PF00565	42..141,195..302,342..469	
A0A7N9AYM0	unreviewed	TNase-like domain-containing protein	205130	Mastacembelus armatus	587	PF00565	42..141,195..302,342..469	
A0A7R5K7T1	unreviewed	TNase-like domain-containing protein	649802	Pipra filicauda	198	PF00565	134..182	
A0A7R5L3G2	unreviewed	TNase-like domain-containing protein	649802	Pipra filicauda	724	PF00565	47..164,218..325,366..493,551..657	
A0A7R7VGJ8	unreviewed	Probable endonuclease LCL3	182096	Aspergillus chevalieri	307	PF00565	149..266	
A0A7R7VSM1	unreviewed	Probable endonuclease LCL3	182096	Aspergillus chevalieri	887	PF00565	199..307,345..455,513..618,831..880	
A0A7R7XD25	unreviewed	Probable endonuclease LCL3	1220207	Aspergillus puulaauensis	288	PF00565	140..257	
A0A7R8AJ17	unreviewed	Probable endonuclease LCL3	1220207	Aspergillus puulaauensis	882	PF00565	200..304,345..456,513..618	
A0A7R8CW50	unreviewed	Staphylococcal nuclease domain-containing protein	72036	Lepeophtheirus salmonis	869	PF00565	42..151,213..325,366..486,546..653	
A0A7R8H8Y9	unreviewed	TNase-like domain-containing protein	72036	Lepeophtheirus salmonis	836	PF00565	42..151,213..325,366..486,546..653	
A0A7R8UKT7	unreviewed	Staphylococcal nuclease domain-containing protein	343691	Hermetia illucens	911	PF00565	46..160,219..326,366..490,552..663	
A0A7R8WZI9	unreviewed	50S ribosomal protein L31	163714	Cyprideis torosa	92	PF00565	54..87	
A0A7R8X7X3	unreviewed	Staphylococcal nuclease domain-containing protein 1	69355	Darwinula stevensoni	835	PF00565	26..140,198..306,346..467,480..585	
A0A7R8Z6F5	unreviewed	Staphylococcal nuclease domain-containing protein	61478	Timema douglasi	899	PF00565	60..174,232..340,380..503,563..671	
A0A7R8ZLK8	unreviewed	Staphylococcal nuclease domain-containing protein	163714	Cyprideis torosa	916	PF00565	46..160,216..324,368..491,550..655	
A0A7R8ZWX8	unreviewed	Uncharacterized protein	163714	Cyprideis torosa	43	PF00565	1..31	
A0A7R9AH39	unreviewed	TNase-like domain-containing protein	69355	Darwinula stevensoni	160	PF00565	48..143	
A0A7R9AIZ6	unreviewed	PLD phosphodiesterase domain-containing protein	69355	Darwinula stevensoni	353	PF00565	5..56	
A0A7R9AXD8	unreviewed	Staphylococcal nuclease domain-containing protein 1	629360	Timema shepardi	676	PF00565	53..161,201..324,384..492	
A0A7R9B9M0	unreviewed	TNase-like domain-containing protein	629360	Timema shepardi	165	PF00565	39..153	
A0A7R9D4F6	unreviewed	Staphylococcal nuclease domain-containing protein 1	170557	Timema poppense	854	PF00565	86..200,258..366,406..529,551..656	
A0A7R9DZF9	unreviewed	Staphylococcal nuclease domain-containing protein 1	170555	Timema monikensis	774	PF00565	27..139,190..298,367..421,469..577	
A0A7R9EQQ1	unreviewed	TNase-like domain-containing protein	61472	Timema bartmani	618	PF00565	271..385,443..551	
A0A7R9FRV9	unreviewed	TNase-like domain-containing protein	69355	Darwinula stevensoni	123	PF00565	29..121	
A0A7R9H1J2	unreviewed	TNase-like domain-containing protein	61476	Timema cristinae	728	PF00565	47..133,188..296,365..419,454..558	
A0A7R9HZ28	unreviewed	Staphylococcal nuclease domain-containing protein	61472	Timema bartmani	908	PF00565	39..153,211..319,359..482,542..650	
A0A7R9IJ03	unreviewed	TNase-like domain-containing protein	61484	Timema tahoe	822	PF00565	39..153,211..319,359..482,528..633	
A0A7R9J6C5	unreviewed	Staphylococcal nuclease domain-containing protein	61474	Timema californicum	974	PF00565	35..149,207..315,462..585,645..753	
A0A7R9K0B6	unreviewed	Staphylococcal nuclease domain-containing protein 1	629358	Timema genevievae	834	PF00565	39..153,211..319,359..482,542..650	
A0A7R9L2U6	unreviewed	Staphylococcal nuclease domain-containing protein	1979941	Medioppia subpectinata	891	PF00565	62..153,206..307,362..471,534..630	
A0A7R9MCW8	unreviewed	TNase-like domain-containing protein	334625	Oppiella nova	547	PF00565	67..158	
A0A7R9ME29	unreviewed	Staphylococcal nuclease domain-containing protein 1	334625	Oppiella nova	683	PF00565	6..64,127..223	
A0A7R9ME63	unreviewed	TNase-like domain-containing protein	334625	Oppiella nova	69	PF00565	4..52	
A0A7R9NWY9	unreviewed	TNase-like domain-containing protein	61484	Timema tahoe	439	PF00565	39..153,300..390	
A0A7R9PMG5	unreviewed	TNase-like domain-containing protein	629358	Timema genevievae	679	PF00565	332..446,504..612	
A0A7R9QK64	unreviewed	TNase-like domain-containing protein	334625	Oppiella nova	475	PF00565	65..156,209..310,401..470	
A0A7R9QMY0	unreviewed	TNase-like domain-containing protein	1979941	Medioppia subpectinata	153	PF00565	19..110	
A0A7R9RK58	unreviewed	Staphylococcal nuclease domain-containing protein 1	509924	Argulus foliaceus	921	PF00565	58..172,231..335,376..504,562..671	
A0A7R9SV00	unreviewed	TNase-like domain-containing protein	1486889	Polyblepharides amylifera	301	PF00565	119..221	
A0A7R9T6G8	unreviewed	Uncharacterized protein	242159	Ostreococcus sp. 'lucimarinus'	814	PF00565	128..222,266..387,449..549	
A0A7R9YKG1	unreviewed	TNase-like domain-containing protein	2081491	Diacronema lutheri	332	PF00565	190..303	
A0A7R9YXJ4	unreviewed	TNase-like domain-containing protein	1486919	Chlamydomonas euryale	195	PF00565	30..125	
A0A7R9YXQ3	unreviewed	TNase-like domain-containing protein	1486919	Chlamydomonas euryale	124	PF00565	3..84	
A0A7R9Z0G1	unreviewed	TNase-like domain-containing protein	2749911	Pseudictyota dubia	216	PF00565	12..125	
A0A7R9Z252	unreviewed	TNase-like domain-containing protein	1486919	Chlamydomonas euryale	119	PF00565	45..107	
A0A7R9Z2E1	unreviewed	TNase-like domain-containing protein	1486919	Chlamydomonas euryale	256	PF00565	121..223	
A0A7R9ZMQ4	unreviewed	Tudor domain-containing protein	1486917	Craspedostauros australis	215	PF00565	108..203	
A0A7R9ZR51	unreviewed	TNase-like domain-containing protein	1486917	Craspedostauros australis	144	PF00565	9..123	
A0A7S0AIN6	unreviewed	TNase-like domain-containing protein	73915	Pyrodinium bahamense	332	PF00565	146..257	
A0A7S0AU87	unreviewed	TNase-like domain-containing protein	265543	Minutocellus polymorphus	160	PF00565	2..109	
A0A7S0DY38	unreviewed	Uncharacterized protein	33657	Phaeocystis antarctica	806	PF00565	113..220,278..384,446..550,736..797	
A0A7S0HCE2	unreviewed	Uncharacterized protein	33657	Phaeocystis antarctica	806	PF00565	113..220,278..384,446..550,736..797	
A0A7S0IGE2	unreviewed	TNase-like domain-containing protein	38833	Micromonas pusilla	511	PF00565	21..114,366..478	
A0A7S0IGJ1	unreviewed	Tudor domain-containing protein	38833	Micromonas pusilla	278	PF00565	207..254	
A0A7S0IGV3	unreviewed	TNase-like domain-containing protein	38833	Micromonas pusilla	243	PF00565	43..148	
A0A7S0J1Z8	unreviewed	TNase-like domain-containing protein	127549	Calcidiscus leptoporus	136	PF00565	6..115	
A0A7S0KKL0	unreviewed	Ribonuclease	1486918	Ostreococcus mediterraneus	917	PF00565	44..150,233..329,372..492,554..654	
A0A7S0KWW3	unreviewed	TNase-like domain-containing protein	38833	Micromonas pusilla	747	PF00565	37..142,259..348,608..715	
A0A7S0PUH3	unreviewed	Uncharacterized protein	221442	Coccolithus braarudii	887	PF00565	49..160,218..325,362..472,537..641,833..881	
A0A7S0QVD9	unreviewed	TNase-like domain-containing protein	233186	Cryptomonas curvata	363	PF00565	12..126,190..288	
A0A7S0RH38	unreviewed	TNase-like domain-containing protein	1411642	Pyramimonas obovata	706	PF00565	35..143,202..320,361..488,550..653	
A0A7S0RIE0	unreviewed	TNase-like domain-containing protein	1034604	Chlamydomonas leiostraca	709	PF00565	34..140,205..333,374..493,558..672	
A0A7S0VNV1	unreviewed	TNase-like domain-containing protein	464990	Hemiselmis tepida	309	PF00565	153..257	
A0A7S0W2D9	unreviewed	TNase-like domain-containing protein	464990	Hemiselmis tepida	482	PF00565	35..145,203..312,354..468	
A0A7S0WPY7	unreviewed	Uncharacterized protein	1411642	Pyramimonas obovata	794	PF00565	35..143,202..320,361..488,550..653	
A0A7S0YB02	unreviewed	TNase-like domain-containing protein	51329	Polytomella parva	553	PF00565	51..149	
A0A7S0YB08	unreviewed	TNase-like domain-containing protein	51329	Polytomella parva	424	PF00565	276..402	
A0A7S1BIX6	unreviewed	TNase-like domain-containing protein	216773	Corethron hystrix	896	PF00565	203..311,356..470,529..638	
A0A7S1BJE4	unreviewed	TNase-like domain-containing protein	216773	Corethron hystrix	377	PF00565	24..119,271..365	
A0A7S1BRP2	unreviewed	TNase-like domain-containing protein	216773	Corethron hystrix	293	PF00565	154..264	
A0A7S1C8D4	unreviewed	Tudor domain-containing protein	1486930	Bicosoecida sp. CB-2014	394	PF00565	27..122,277..368	
A0A7S1EN86	unreviewed	TNase-like domain-containing protein	1486918	Ostreococcus mediterraneus	186	PF00565	38..146	
A0A7S1ENQ0	unreviewed	Uncharacterized protein	1486918	Ostreococcus mediterraneus	734	PF00565	50..146,189..309,371..471	
A0A7S1EQF4	unreviewed	TNase-like domain-containing protein	708627	Timspurckia oligopyrenoides	357	PF00565	193..303	
A0A7S1GLY9	unreviewed	Tudor domain-containing protein	216820	Cyclophora tenuis	346	PF00565	1..90	
A0A7S1JLN8	unreviewed	TNase-like domain-containing protein	1169539	Vitrella brassicaformis	322	PF00565	164..279	
A0A7S1JML4	unreviewed	TNase-like domain-containing protein	1169539	Vitrella brassicaformis	169	PF00565	11..126	
A0A7S1JSL7	unreviewed	Staphylococcal nuclease domain-containing protein	1169539	Vitrella brassicaformis	933	PF00565	33..139,237..327,366..490,553..664,818..902	
A0A7S1KZM0	unreviewed	TNase-like domain-containing protein	312471	Neobodo designis	510	PF00565	399..473	
A0A7S1L0F1	unreviewed	TNase-like domain-containing protein	312471	Neobodo designis	632	PF00565	399..550	
A0A7S1LRG2	unreviewed	Staphylococcal nuclease domain-containing protein 1	312471	Neobodo designis	966	PF00565	245..331,412..534,602..702	
A0A7S1MKK6	unreviewed	TNase-like domain-containing protein	312471	Neobodo designis	291	PF00565	107..231	
A0A7S1QH43	unreviewed	TNase-like domain-containing protein	312471	Neobodo designis	217	PF00565	63..168	
A0A7S1SDH9	unreviewed	TNase-like domain-containing protein	2925	Alexandrium catenella	162	PF00565	9..79	
A0A7S1T862	unreviewed	TNase-like domain-containing protein	31354	Compsopogon caeruleus	246	PF00565	119..227	
A0A7S1TEW4	unreviewed	Uncharacterized protein	31354	Compsopogon caeruleus	792	PF00565	67..183,224..349,436..534	
A0A7S1V294	unreviewed	TNase-like domain-containing protein	210454	Grammatophora oceanica	935	PF00565	237..348,390..504,578..676	
A0A7S1VF03	unreviewed	TNase-like domain-containing protein	1486929	Sexangularia sp. CB-2014	692	PF00565	219..328,397..508,578..680	
A0A7S1WZ36	unreviewed	TNase-like domain-containing protein	63592	Tetraselmis chuii	124	PF00565	3..68	
A0A7S1XEA7	unreviewed	Tudor domain-containing protein	31354	Compsopogon caeruleus	533	PF00565	177..275	
A0A7S1YKG3	unreviewed	TNase-like domain-containing protein	210454	Grammatophora oceanica	202	PF00565	40..149	
A0A7S1Z1B2	unreviewed	TNase-like domain-containing protein	1514140	Trieres chinensis	214	PF00565	50..163	
A0A7S1ZRS9	unreviewed	TNase-like domain-containing protein	49249	Ditylum brightwellii	208	PF00565	44..156	
A0A7S2B5L1	unreviewed	Tudor domain-containing protein	41880	Pycnococcus provasolii	426	PF00565	30..139	
A0A7S2CIJ9	unreviewed	TNase-like domain-containing protein	156173	Haptolina brevifila	299	PF00565	76..185	
A0A7S2E782	unreviewed	TNase-like domain-containing protein	49249	Ditylum brightwellii	357	PF00565	141..257	
A0A7S2EXZ5	unreviewed	Uncharacterized protein	1514140	Trieres chinensis	948	PF00565	250..359,402..517,576..688	
A0A7S2GFY6	unreviewed	Uncharacterized protein	156173	Haptolina brevifila	894	PF00565	34..134,192..297,349..454,519..623,780..867	
A0A7S2KC97	unreviewed	Uncharacterized protein	267567	Skeletonema marinoi	772	PF00565	70..178,223..338,398..512	
A0A7S2Q4I6	unreviewed	TNase-like domain-containing protein	267567	Skeletonema marinoi	222	PF00565	95..200	
A0A7S2QXE7	unreviewed	TNase-like domain-containing protein	1486918	Ostreococcus mediterraneus	303	PF00565	40..102	
A0A7S2RCV2	unreviewed	Uncharacterized protein	96639	Mucochytrium quahogii	933	PF00565	33..142,198..307,354..474,545..657,829..924	
A0A7S2TXA0	unreviewed	TNase-like domain-containing protein	641309	Lotharella oceanica	305	PF00565	173..281	
A0A7S2UCP4	unreviewed	TNase-like domain-containing protein	420275	Attheya septentrionalis	231	PF00565	101..212	
A0A7S2UE37	unreviewed	TNase-like domain-containing protein	420275	Attheya septentrionalis	177	PF00565	113..170	
A0A7S2UEN5	unreviewed	TNase-like domain-containing protein	420275	Attheya septentrionalis	965	PF00565	270..378,421..535,609..706	
A0A7S2USM1	unreviewed	TNase-like domain-containing protein	94617	Fibrocapsa japonica	291	PF00565	164..273	
A0A7S2WI99	unreviewed	TNase-like domain-containing protein	49252	Eucampia antarctica	290	PF00565	90..202	
A0A7S2YLN7	unreviewed	TNase-like domain-containing protein	265537	Amphiprora paludosa	131	PF00565	12..115	
A0A7S2YYZ2	unreviewed	Ribonuclease	41880	Pycnococcus provasolii	968	PF00565	34..144,208..345,390..511,572..681	
A0A7S2YZG1	unreviewed	TNase-like domain-containing protein	41880	Pycnococcus provasolii	146	PF00565	34..144	
A0A7S2ZAU6	unreviewed	TNase-like domain-containing protein	101924	Rhodosorus marinus	166	PF00565	3..94	
A0A7S2ZC95	unreviewed	TNase-like domain-containing protein	101924	Rhodosorus marinus	141	PF00565	7..69	
A0A7S2ZCS4	unreviewed	TNase-like domain-containing protein	101924	Rhodosorus marinus	316	PF00565	232..307	
A0A7S3BYD6	unreviewed	Uncharacterized protein	156174	Haptolina ericina	889	PF00565	32..137,214..303,341..451,516..619	
A0A7S3CC02	unreviewed	TNase-like domain-containing protein	1461544	Chloropicon roscoffensis	676	PF00565	238..352,404..534	
A0A7S3CDL7	unreviewed	Ribonuclease	1461544	Chloropicon roscoffensis	999	PF00565	238..352,404..534,598..701	
A0A7S3E6B7	unreviewed	TNase-like domain-containing protein	101924	Rhodosorus marinus	335	PF00565	232..327	
A0A7S3FHY8	unreviewed	TNase-like domain-containing protein	156174	Haptolina ericina	260	PF00565	32..137	
A0A7S3G8S9	unreviewed	Uncharacterized protein	652834	Palpitomonas bilix	866	PF00565	34..144,201..310,351..460,521..624,771..846	
A0A7S3GBZ8	unreviewed	Uncharacterized protein	652834	Palpitomonas bilix	830	PF00565	34..144,201..310,351..460,521..624	
A0A7S3GNR9	unreviewed	TNase-like domain-containing protein	89044	Spumella elongata	256	PF00565	111..227	
A0A7S3GNW9	unreviewed	TNase-like domain-containing protein	89044	Spumella elongata	174	PF00565	29..145	
A0A7S3HZX9	unreviewed	TNase-like domain-containing protein	182087	Favella ehrenbergii	144	PF00565	54..130	
A0A7S3J9B9	unreviewed	TNase-like domain-containing protein	151035	Euplotes harpa	144	PF00565	52..132	
A0A7S3KXR0	unreviewed	TNase-like domain-containing protein	265554	Amphora coffeiformis	316	PF00565	89..156	
A0A7S3L4G5	unreviewed	TNase-like domain-containing protein	265554	Amphora coffeiformis	233	PF00565	72..181	
A0A7S3LMC9	unreviewed	TNase-like domain-containing protein	215587	Aplanochytrium stocchinoi	296	PF00565	79..185	
A0A7S3NR95	unreviewed	TNase-like domain-containing protein	5936	Euplotes crassus	114	PF00565	2..76	
A0A7S3Q8J6	unreviewed	TNase-like domain-containing protein	122233	Chaetoceros debilis	241	PF00565	102..214	
A0A7S3Q9M7	unreviewed	TNase-like domain-containing protein	122233	Chaetoceros debilis	235	PF00565	74..184	
A0A7S3QEF8	unreviewed	TNase-like domain-containing protein	122233	Chaetoceros debilis	944	PF00565	246..356,398..512,592..686	
A0A7S3R3B8	unreviewed	Ribonuclease	3047	Dunaliella tertiolecta	880	PF00565	124..253,295..419,484..597	
A0A7S3U6B6	unreviewed	Uncharacterized protein	141414	Strombidinopsis acuminata	918	PF00565	58..165,222..329,365..474,538..645	
A0A7S3VB50	unreviewed	TNase-like domain-containing protein	122233	Chaetoceros debilis	142	PF00565	3..115	
A0A7S3VVF9	unreviewed	TNase-like domain-containing protein	141414	Strombidinopsis acuminata	292	PF00565	6..116	
A0A7S3WCI8	unreviewed	TNase-like domain-containing protein	2903	Emiliania huxleyi	198	PF00565	126..195	
A0A7S4A2N4	unreviewed	TNase-like domain-containing protein	35677	Pelagomonas calceolata	245	PF00565	55..153	
A0A7S4A5E8	unreviewed	TNase-like domain-containing protein	35677	Pelagomonas calceolata	292	PF00565	166..275	
A0A7S4C0Z4	unreviewed	Excalibur calcium-binding domain-containing protein	13221	Chrysotila carterae	264	PF00565	80..153	
A0A7S4C2U3	unreviewed	TNase-like domain-containing protein	13221	Chrysotila carterae	127	PF00565	66..124	
A0A7S4GEZ0	unreviewed	TNase-like domain-containing protein	73025	Eutreptiella gymnastica	193	PF00565	64..167	
A0A7S4GFB2	unreviewed	TNase-like domain-containing protein	73025	Eutreptiella gymnastica	278	PF00565	149..252	
A0A7S4JYS1	unreviewed	TNase-like domain-containing protein	72548	Prymnesium polylepis	219	PF00565	90..163	
A0A7S4K0S9	unreviewed	TNase-like domain-containing protein	72548	Prymnesium polylepis	115	PF00565	23..85	
A0A7S4L8Z8	unreviewed	Micrococcal nuclease	180227	Paramoeba aestuarina	887	PF00565	70..167,223..325,377..472,538..637,781..869	
A0A7S4M673	unreviewed	TNase-like domain-containing protein	265563	Odontella aurita	303	PF00565	227..302	
A0A7S4NGT6	unreviewed	TNase-like domain-containing protein	265563	Odontella aurita	250	PF00565	86..197	
A0A7S4NZY8	unreviewed	Staphylococcal nuclease domain-containing protein 1	180227	Paramoeba aestuarina	711	PF00565	47..149,201..296,362..461,605..693	
A0A7S4QGA3	unreviewed	TNase-like domain-containing protein	49249	Ditylum brightwellii	358	PF00565	252..350	
A0A7S4QHE0	unreviewed	Tudor domain-containing protein	49249	Ditylum brightwellii	427	PF00565	61..173	
A0A7S4QIP3	unreviewed	Uncharacterized protein	49249	Ditylum brightwellii	941	PF00565	252..359,401..517,575..687	
A0A7S4T7K8	unreviewed	TNase-like domain-containing protein	49249	Ditylum brightwellii	350	PF00565	209..335	
A0A7S4U9J8	unreviewed	TNase-like domain-containing protein	55529	Guillardia theta	275	PF00565	119..223	
A0A7S4V0F9	unreviewed	Tudor domain-containing protein	49249	Ditylum brightwellii	483	PF00565	117..229	
A0A7S4VGJ0	unreviewed	Uncharacterized protein	49249	Ditylum brightwellii	751	PF00565	62..169,211..327,385..497	
A0A7S6WXI0	unreviewed	Staphylococcal nuclease domain-containing protein	6523	Lymnaea stagnalis	900	PF00565	39..155,213..321,362..485,545..652	
A0A7S8CYF1	unreviewed	Probable endonuclease LCL3	5516	Fusarium culmorum	885	PF00565	32..139,198..304,342..452,510..615	
A0A7S9KNX6	unreviewed	Probable endonuclease LCL3	877507	Epichloe festucae (strain Fl1)	883	PF00565	32..141,199..304,340..450,508..613	
A0A7S9PVK7	unreviewed	Probable endonuclease LCL3	877507	Epichloe festucae (strain Fl1)	263	PF00565	131..240	
A0A7T6XFL7	unreviewed	Probable endonuclease LCL3	36651	Penicillium digitatum	400	PF00565	245..362	
A0A7T7BKU0	unreviewed	Probable endonuclease LCL3	36651	Penicillium digitatum	887	PF00565	199..308,345..456,513..618,783..880	
A0A7T8K7F7	unreviewed	TNase-like domain-containing protein	217165	Caligus rogercresseyi	604	PF00565	102..206,239..350,410..517	
A0A7U2F833	unreviewed	Probable endonuclease LCL3	321614	Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173)	271	PF00565	127..236	
A0A7U2HU88	unreviewed	Probable endonuclease LCL3	321614	Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173)	483	PF00565	2..56,114..219	
A0A7U2N343	unreviewed	Probable endonuclease LCL3	5059	Aspergillus flavus	881	PF00565	200..306,345..455,513..618,780..874	
A0A803J4A4	unreviewed	Staphylococcal nuclease domain-containing protein	8364	Xenopus tropicalis	857	PF00565	39..141,195..302,343..470,540..607,790..841	
A0A803JJX1	unreviewed	Staphylococcal nuclease domain-containing protein	8364	Xenopus tropicalis	879	PF00565	61..163,217..324,365..492,562..629,812..863	
A0A803LR84	unreviewed	Ribonuclease	63459	Chenopodium quinoa	970	PF00565	39..149,268..363,842..948	
A0A803M417	unreviewed	TNase-like domain-containing protein	63459	Chenopodium quinoa	334	PF00565	222..316	
A0A803MMN1	unreviewed	Ribonuclease	63459	Chenopodium quinoa	1028	PF00565	39..149,268..363,654..752,899..1006	
A0A803NSY6	unreviewed	TNase-like domain-containing protein	3483	Cannabis sativa	325	PF00565	213..307	
A0A803NVN4	unreviewed	Ribonuclease	3483	Cannabis sativa	1004	PF00565	56..164,279..376,423..566,627..726,878..982	
A0A803QGS0	unreviewed	TNase-like domain-containing protein	3483	Cannabis sativa	350	PF00565	237..331	
A0A803VKD6	unreviewed	TNase-like domain-containing protein	59894	Ficedula albicollis	735	PF00565	309..367	
A0A804JEK4	unreviewed	Ribonuclease	214687	Musa acuminata subsp. malaccensis	982	PF00565	40..148,270..362,409..549,610..708,854..961	
A0A804JZ21	unreviewed	TNase-like domain-containing protein	214687	Musa acuminata subsp. malaccensis	345	PF00565	222..316	
A0A804JZ24	unreviewed	TNase-like domain-containing protein	214687	Musa acuminata subsp. malaccensis	345	PF00565	222..316	
A0A804KVG6	unreviewed	Ribonuclease	214687	Musa acuminata subsp. malaccensis	984	PF00565	40..148,271..362,409..549,610..708,854..961	
A0A804KVP5	unreviewed	TNase-like domain-containing protein	214687	Musa acuminata subsp. malaccensis	336	PF00565	224..318	
A0A811K7H6	unreviewed	Staphylococcal nuclease domain-containing protein	465554	Bursaphelenchus okinawaensis	883	PF00565	36..152,209..314,358..468,524..637,799..874	
A0A811NSB2	unreviewed	TNase-like domain-containing protein	422564	Miscanthus lutarioriparius	265	PF00565	161..241	
A0A811P0I1	unreviewed	TNase-like domain-containing protein	422564	Miscanthus lutarioriparius	330	PF00565	217..311	
A0A811P9A1	unreviewed	TNase-like domain-containing protein	422564	Miscanthus lutarioriparius	328	PF00565	215..309	
A0A811PES4	unreviewed	TNase-like domain-containing protein	422564	Miscanthus lutarioriparius	328	PF00565	215..309	
A0A811PJV8	unreviewed	Ribonuclease	422564	Miscanthus lutarioriparius	986	PF00565	40..148,271..362,409..553,614..712,860..964	
A0A811Q105	unreviewed	Ribonuclease	422564	Miscanthus lutarioriparius	961	PF00565	62..123,246..337,384..528,589..687,834..939	
A0A811Q2N1	unreviewed	Uncharacterized protein	422564	Miscanthus lutarioriparius	840	PF00565	40..148,244..335,712..818	
A0A811QXC1	unreviewed	Ribonuclease	422564	Miscanthus lutarioriparius	901	PF00565	50..110,227..300,516..604	
A0A811R2I4	unreviewed	Uncharacterized protein	422564	Miscanthus lutarioriparius	1065	PF00565	43..148,255..347,394..536,603..696	
A0A811RFH1	unreviewed	TNase-like domain-containing protein	422564	Miscanthus lutarioriparius	274	PF00565	160..250	
A0A811RGG0	unreviewed	TNase-like domain-containing protein	422564	Miscanthus lutarioriparius	361	PF00565	241..335	
A0A811RK71	unreviewed	TNase-like domain-containing protein	422564	Miscanthus lutarioriparius	416	PF00565	300..393	
A0A811RM52	unreviewed	TNase-like domain-containing protein	422564	Miscanthus lutarioriparius	120	PF00565	3..94	
A0A811ZMP5	unreviewed	Staphylococcal nuclease domain-containing protein	34880	Nyctereutes procyonoides	910	PF00565	51..166,220..327,368..495,553..659,847..894	
